Siruta,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
25148,0.0,426.0,950.0,1242.0,1852.0,1786.0,2566.0,1830.0,1538.0,544.0,692.0,616.0,416.0,534.0,220.0,326.0
26289,7444.0,9528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1884.0,2092.0,2030.0,0.0,0.0
26320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5692.0,4334.0,1660.0,1344.0,692.0,3320.0
26379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16434.0,13202.0,7196.0
26564,210568.0,244572.0,166376.0,191804.0,187424.0,204228.0,220830.0,228406.0,213564.0,238724.0,282832.0,307004.0,312792.0,555412.0,720864.0,842124.0
26582,2031502.0,1961380.0,2034558.0,1929112.0,1886896.0,1878544.0,1847728.0,1833304.0,1619856.0,1396488.0,1561998.0,1569518.0,1427550.0,1401166.0,1381140.0,1705506.0
26653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,314.0,480.0,0.0,2098.0,22582.0
26699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4534.0,2448.0
26804,4906.0,11084.0,12328.0,10514.0,6194.0,10930.0,4340.0,1052.0,0.0,0.0,1242.0,190.0,516.0,0.0,1136.0,5360.0
26840,27018.0,29636.0,34824.0,35574.0,27302.0,31840.0,22500.0,16304.0,13276.0,4436.0,3606.0,0.0,0.0,0.0,640.0,886.0
26877,38374.0,15296.0,19304.0,20718.0,21404.0,19554.0,33890.0,32838.0,20026.0,24964.0,23744.0,31786.0,32394.0,23010.0,25990.0,26994.0
26920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1232.0,6616.0,8432.0,8426.0,2716.0,2270.0,3938.0,9004.0
26975,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,546.0,1870.0,1794.0,1964.0,1314.0,472.0,1464.0,5500.0
27329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.0,2198.0,2130.0,1674.0,506.0,1508.0
27436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3412.0,2026.0,2312.0,1626.0,3846.0,2666.0,2146.0,2450.0
27560,2428.0,2438.0,1432.0,162.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27631,1622.0,1092.0,388.0,14250.0,23342.0,24134.0,18344.0,25042.0,21714.0,19940.0,21678.0,21606.0,20422.0,19042.0,21856.0,24142.0
27686,0.0,0.0,0.0,10892.0,0.0,0.0,600.0,3800.0,5676.0,3230.0,1166.0,1898.0,1602.0,1696.0,1878.0,4754.0
27846,14250.0,22340.0,17236.0,37688.0,32630.0,23802.0,22570.0,28696.0,13486.0,15496.0,17296.0,17824.0,15316.0,10514.0,16156.0,17804.0
27935,2368.0,8058.0,8280.0,22378.0,12550.0,16316.0,22690.0,7130.0,5180.0,2100.0,2180.0,5452.0,5840.0,7074.0,8276.0,10556.0
27971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1266.0,1060.0,1860.0,996.0,1944.0,2422.0
29519,0.0,0.0,0.0,0.0,0.0,0.0,60.0,388.0,0.0,928.0,2092.0,2012.0,1990.0,5124.0,4568.0,7870.0
29724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,146.0,194.0,76.0,58.0
30014,0.0,0.0,0.0,974.0,8192.0,5684.0,8340.0,12952.0,12970.0,10474.0,11800.0,8976.0,8198.0,6760.0,0.0,0.0
30149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1748.0,966.0,2726.0,1272.0,1286.0
